Exp_0,,Exp_4,,Exp_10,,LLT_0,,LLT_4,,LLT_10,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
,,,,,,0.5594453109129318,0.6388149510649539,0.6435223732621314,0.2012875500825111,0.6521936184108154,-0.08502641486633977
,,,,,,0.5704021583051263,0.6364569646573929,0.6683929706491899,0.22825324079461895,0.6601449125325849,-0.06886830581076708
,,,,,,0.5813588299039794,0.6342803618196443,0.6802719639886584,0.23774186879042958,0.6701709005573021,-0.0649079539146491
,,,,,,0.5923155893995031,0.6320130671969895,0.6895144527398792,0.24174616301566276,0.6840454752152793,-0.046540060344469225
,,,,,,0.6032697119949038,0.6324665261215203,0.701243384488166,0.2419477003154542,0.6929588841886278,-0.04693102831054374
,,,,,,0.6142214362668588,0.6353945751770631,0.7311166501913042,0.24484983743245237,0.7094868616535202,-0.043368654999428546
,,,,,,0.6257987513982141,0.6418092952849017,0.7427633766587398,0.24204702941320866,0.7184470106023759,-0.04060903354442558
,,,,,,0.6357085862965863,0.6426466789772406,0.7521742784898419,0.24267647358702193,0.7333811321204943,-0.03656677113146389
,,,,,,0.6478406671124689,0.6550198095763174,0.7639818306709707,0.24330807708904723,0.7443298930189776,-0.030581113327655007
,,,,,,0.6573840051573661,0.6629532856055126,0.7714512897534753,0.24285461816451615,0.7552828729576581,-0.028948661199343695
,,,,,,0.6689577067589227,0.6730964457594948,0.7978468357807088,0.23768518642486303,0.7657406078945207,-0.03009137768916159
,,,,,,0.6799093682475417,0.6760892746613991,0.8088065084230355,0.23241210693103143,0.7821695855811851,-0.02713482550122004
,,,,,,0.6908641940163083,0.6758171993066806,0.8197625940440832,0.23084011599265764,0.7911315175767909,-0.026214951682885568
,,,,,,0.7018187560950627,0.6758171993066806,0.8307185206140126,0.22943223399839963,0.8309610275286823,-0.020786400557786244
,,,,,,0.7127747245205496,0.6743661307481814,0.8381897596041004,0.22714226642951818,0.8399233111109713,-0.020229293879076904
,,,,,,0.7237327145694642,0.6708291511368399,0.8635946002808552,0.21664469232662653,0.854859780725866,-0.01860979772003768
,,,,,,0.7346906167217081,0.6673828633104046,0.8748071156492234,0.20737296884971657,0.8872233173260824,-0.016324364740401665
,,,,,,0.7456488704606351,0.6635738083443445,0.885514359935528,0.2056709863529771,0.9036535958834742,-0.014710050969071409
,,,,,,0.7566089700296484,0.6578602258952544,0.8964751626779073,0.19923186962463735,0.9355189810319593,-0.012200911586666807
,,,,,,0.7675689817019908,0.6522373352310704,0.9034503787806412,0.1949693557340464,0.9524471473510701,-0.010538228863386623
,,,,,,0.778529520754358,0.6460702938574493,0.9225600075770057,0.17213122089927624,0.9614098327467113,-0.01039571320139121
,,,,,,0.7894910266701037,0.6389056428498601,0.9333496618983288,0.1710267245188115,0.9763462521349369,-0.008724393165262745
,,,,,,0.8004532357592156,0.6310154575630214,0.9443154747509426,0.15941817605081865,0.9853084854905569,-0.008115462609464164
,,,,,,0.811415620641669,0.6229438887063702,0.9552830455369719,0.14599579188470235,0.9992467879554574,-0.004125024073591499
,,,,,,0.8223796755608672,0.6131491759365013,0.9627609207257031,0.13685859455540328,,
,,,,,,0.8333439941700778,0.6030823878119139,0.981721740039889,0.09630576293459914,,
,,,,,,0.8443093675393375,0.5919272982684521,0.9898781887582488,0.0720416797261969,,
,,,,,,0.855276059358659,0.5794118319513977,0.9933400296564203,0.053682891323311166,,
,,,,,,0.8662429269713219,0.5667149820645306,0.997719880475191,0.03003122958465032,,
,,,,,,0.877212167794096,0.5515694539851964,,,,
,,,,,,0.8881820238935652,0.5357890834115189,,,,
,,,,,,0.8991538137197916,0.5180134935699051,,,,
,,,,,,0.9101269219960797,0.49887752695469845,,,,
,,,,,,0.9206042754698596,0.4774924040738182,,,,
,,,,,,0.9300860682787302,0.45578885225926724,,,,
,,,,,,0.9385718118636963,0.43427096668214926,,,,
,,,,,,0.9465608831025742,0.4114506463051285,,,,
,,,,,,0.9540513118193925,0.38936071869583444,,,,
,,,,,,0.9585537758779226,0.3676389565466953,,,,
,,,,,,0.9641429420544745,0.34560841046323254,,,,
,,,,,,0.9695506704582668,0.3239602814061243,,,,
,,,,,,0.974053764129021,0.3015888853643892,,,,
,,,,,,0.9785021816757189,0.2785468739575978,,,,
,,,,,,0.9820654875956245,0.25539599642011535,,,,
,,,,,,0.9851883642260528,0.22999653843781598,,,,
,,,,,,0.9884874632174965,0.20544425689071155,,,,
,,,,,,0.990977015559291,0.1798805100202785,,,,
,,,,,,0.994116165804878,0.1519612959585317,,,,
,,,,,,0.9951356848699442,0.12755944761020044,,,,
,,,,,,0.9971497994107639,0.10447191036693826,,,,
,,,,,,0.9977749594589878,0.07595452640164946,,,,
,,,,,,0.9991999065918769,0.04424716686869612,,,,
